scenario,output_label,assumptions_label,slot_price_rub,paid_fast_slot_conversion,virtual_queue_adoption,max_fast_slot_capacity_share,paid_capacity_cap_assumption,route_compliance_rate_assumption,ride_downtime_probability_assumption,no_show_rate_assumption,late_arrival_rate_assumption,abandon_rate_assumption,peak_day_fast_slots_sold,normal_day_fast_slots_sold,peak_paid_slot_no_shows_model_output,peak_late_arrivals_model_output,peak_abandoned_slots_model_output,peak_downtime_steps_model_output,daily_fast_slot_revenue_peak,daily_fast_slot_revenue_normal,annual_fast_slot_revenue,startup_annual_revenue,park_fast_slot_revenue_share,freed_physical_wait_hours,park_retail_uplift,park_annual_uplift,peak_avg_wait_baseline,peak_avg_wait_optimized,normal_avg_wait_baseline,normal_avg_wait_optimized,weighted_avg_wait_time_reduction,annual_additional_attractions_visited
conservative,scenario output,"product and risk values are assumptions, not measured Dream Island data",300,0.02,0.2,0.08,0.1,0.75,0.01,0.05,0.08,0.03,32,0,1,1,1,9,9600.0,0.0,864000.0,129600.0,734400.0,162000.0,14175000.0,14909400.0,82.0,77.44,0.02,0.11,2.49,-23400.0
base,scenario output,"product and risk values are assumptions, not measured Dream Island data",500,0.05,0.35,0.12,0.1,0.75,0.01,0.05,0.08,0.03,290,0,16,19,7,7,145000.0,0.0,13050000.0,1957500.0,11092500.0,283500.0,24806250.0,35898750.0,82.0,72.3,0.02,0.11,5.35,-23400.0
aggressive,scenario output,"product and risk values are assumptions, not measured Dream Island data",700,0.1,0.5,0.15,0.1,0.75,0.01,0.05,0.08,0.03,389,0,19,27,13,7,272300.0,0.0,24507000.0,3676050.0,20830950.0,405000.0,35437500.0,56268450.0,82.0,75.6,0.02,0.11,3.52,-14400.0
